ChrisLidbury/CLSmith	DIVERGE	746	519	ch=979
chenbd/libwfd	DIVERGE	1773	810	ch=2183
goodspeed34/ws63flash	DIVERGE	2158	532	ch=2342
chrisidefix/nurbs	DIVERGE	916	539	ch=1157
enki/gvpe	DIVERGE	584	522	ch=874
farsightsec/dnstable	DIVERGE	2052	853	ch=2457
bspeice/libcvautomation	DIVERGE	925	517	ch=1102
cfsghost/mdsfs	DIVERGE	804	519	ch=987
bryteise/ister	DIVERGE	709	478	ch=873
embtom/kmscube	DIVERGE	1034	498	ch=1206
christian-sahlmann/gwyddion	DIVERGE	1078	519	ch=1243
emuse/qmidiarp	DIVERGE	1214	580	ch=1432
dyne/Freecoin	DIVERGE	852	519	ch=1039
dleonard0/pktstat	DIVERGE	988	522	ch=1154
echiu64/gutenprint	DIVERGE	1138	633	ch=1251
dhvani-tts/dhvani-tts	DIVERGE	820	523	ch=999
blakecaldwell/fluidmem	DIVERGE	1114	700	ch=1416
hello31337/BI-SGX	DIVERGE	1048	624	ch=1268
ayumin/open-cobol	DIVERGE	791	573	ch=1044
bcoin-org/libtorsion	DIVERGE	3829	911	ch=4378
fuxedo/fuxedo	DIVERGE	1936	983	ch=2497
envytools/valgrind	DIVERGE	1431	581	ch=1586
chuckleb/virt-what	DIVERGE	1588	679	ch=1917
ester-project/ester	DIVERGE	1058	579	ch=1257
fredrikwidlund/libclo	DIVERGE	1509	705	ch=1848
gpg/scute	DIVERGE	927	543	ch=1104
d99kris/namp-lite	DIVERGE	803	520	ch=983
HomerReid/buff-em	DIVERGE	858	522	ch=1038
igmhub/likely	DIVERGE	1704	1043	ch=2399
FNCS/fncs	DIVERGE	1522	635	ch=1821
dkosmari/Papaya-HUD	DIVERGE	1170	561	ch=1335
clone/xml2	DIVERGE	580	535	ch=883
beniz/hmdp	DIVERGE	829	517	ch=1010
devicescape/aws_dynamo	DIVERGE	829	520	ch=1005
DGCDev/digitalcoin	DIVERGE	1067	643	ch=1292
GNOME/goffice	DIVERGE	966	515	ch=1131
davemichael/NaCl-Quake	DIVERGE	765	611	ch=1236
barak/vobcopy	DIVERGE	1406	746	ch=1780
hermansr/psid64	DIVERGE	899	509	ch=1068
dfrc-korea/carpe-sleuthkit	DIVERGE	1002	846	ch=1492
achernya/hesiod	DIVERGE	812	520	ch=998
cydhaselton/mono-android	DIVERGE	1069	634	ch=1223
backuppc/backuppc-xs	DIVERGE	869	535	ch=1044
dmtx/dmtx-wrappers	DIVERGE	897	525	ch=1076
iczelia/xpar	DIVERGE	1419	750	ch=1555
IBMSpectrumComputing/lsf-drmaa	DIVERGE	857	520	ch=1039
devzero2000/POPT	DIVERGE	1861	896	ch=2249
c-rack/squid-ecap-gzip	DIVERGE	632	521	ch=899
bubbapizza/GCAM	DIVERGE	824	549	ch=1083
futurerestore/idevicerestore	DIVERGE	864	525	ch=1043
dnstap/dnstap-ldns	DIVERGE	896	493	ch=1057
gypified/libmpg123	DIVERGE	1043	522	ch=1281
ekmett/jitplusplus	DIVERGE	1237	569	ch=1416
hpc/libdftw	DIVERGE	1111	573	ch=1290
evilnet/x3	DIVERGE	831	544	ch=999
dylex/xtmux	DIVERGE	1707	500	ch=1859
bisco/uftrace	DIVERGE	947	529	ch=1168
bvanheu/libsigrok-ad	DIVERGE	1151	602	ch=1385
borkmann/lksctp-tools	DIVERGE	891	530	ch=1061
eddelbuettel/dieharder	DIVERGE	1155	714	ch=1235
CryptoBridge/bridgecoin	DIVERGE	1272	681	ch=1477
fireae/nhocr	DIVERGE	732	517	ch=979
gentoo/sandbox	DIVERGE	3275	1307	ch=4158
alsa-project/alsa-firmware	DIVERGE	811	528	ch=989
Distrotech/diffutils	DIVERGE	1715	539	ch=1924
besm6/m20	DIVERGE	607	527	ch=882
Evolix/uvrrpd	DIVERGE	992	512	ch=1156
boundarydevices/devregs	DIVERGE	775	519	ch=958
acerion/cwdaemon	DIVERGE	858	546	ch=1036
chaoran/fibril	DIVERGE	809	518	ch=993
ARPA-SIMC/dballe	DIVERGE	1065	575	ch=1268
Distrotech/flux	DIVERGE	814	517	ch=1021
desrt/systemd-shim	DIVERGE	795	519	ch=980
chaos/cerebro	DIVERGE	873	526	ch=1055
bromanbro/taggins	DIVERGE	857	508	ch=1037
EarthScope/evalresp	DIVERGE	864	524	ch=1040
cosmicrays/DRAGON	DIVERGE	1097	732	ch=1507
broadinstitute/VariantBam	DIVERGE	804	518	ch=988
afrab/WSim	DIVERGE	871	528	ch=1047
fredrikwidlund/cfarmhash	DIVERGE	1491	704	ch=1837
baoxuezhao/GPU-SExtractor	DIVERGE	710	520	ch=956
drothlis/gstreamer	DIVERGE	1473	615	ch=1614
ashwinraghav/Cqual	DIVERGE	473	527	ch=848
awaw/dnsproxy	DIVERGE	896	507	ch=1063
geomview/geomview	DIVERGE	1027	538	ch=1185
cryptode/cryptode	DIVERGE	870	523	ch=1045
gmarcais/NoShell	DIVERGE	1110	579	ch=1321
dcos/dcos-mesos-modules	DIVERGE	1910	742	ch=2246
demorest/psrfits_utils	DIVERGE	1086	607	ch=1319
ClusterLabs/cluster-glue	DIVERGE	930	544	ch=1092
cea-hpc/bridge	DIVERGE	879	522	ch=1059
flame/tblis-strassen	DIVERGE	2594	938	ch=3180
cea-hpc/selFIe	DIVERGE	940	511	ch=1111
Distrotech/ethtool	DIVERGE	934	519	ch=1109
FlexW/tiger-compiler	DIVERGE	821	517	ch=1000
danielver02/NHDS	DIVERGE	740	518	ch=924
hpc/supermagic	DIVERGE	1021	559	ch=1200
charlescui/CBenchmark	DIVERGE	718	523	ch=1019
FreeMCU/freemcu	DIVERGE	1029	537	ch=1198
archiecobbs/logwarn	DIVERGE	985	552	ch=1177
fedoracoin-dev/fedoracoin	DIVERGE	1069	643	ch=1294
hfst/hfst-ospell	DIVERGE	1951	810	ch=2383
bsc-performance-tools/paraver-kernel	DIVERGE	1176	664	ch=1452
bbc/bbcat-fileio	DIVERGE	1046	555	ch=1221
